shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
245201,52,43.344140,-8.408750,1974.560599776144
245201,53,43.344370,-8.408720,2000.250271818773
245201,54,43.345050,-8.408570,2076.829676070134
245201,55,43.345350,-8.408410,2112.6094401860087
245201,56,43.346500,-8.407900,2246.9694823259656
245201,57,43.347600,-8.407650,2370.9433745519627
245201,58,43.347770,-8.407590,2390.4592231983347
245201,59,43.347970,-8.407450,2415.4137515551556
245201,60,43.347980,-8.407400,2419.6069167692503
245201,61,43.348020,-8.407350,2425.617668789488
245201,62,43.348080,-8.407330,2432.4825818011086
245201,63,43.348150,-8.407340,2440.3081258540137
245201,64,43.348270,-8.407430,2455.507068520419
245201,65,43.348430,-8.407450,2473.371631596545
245201,66,43.348640,-8.407400,2497.0700186958434
245201,67,43.349020,-8.407300,2540.0908799267354
245201,68,43.349270,-8.407280,2567.9366499445346
245201,69,43.349830,-8.407310,2630.253126022997
245201,70,43.350030,-8.407300,2652.506836738336
245201,71,43.350160,-8.407270,2667.1643149014635
245201,72,43.350360,-8.407300,2689.535234052069
245201,73,43.353450,-8.406600,3037.7585116943887
245201,74,43.354590,-8.406370,3165.8776772658025
245201,75,43.355910,-8.406040,3315.060471268153
245201,76,43.358420,-8.405350,3599.680644622957
245201,77,43.359670,-8.405070,3740.505785378392
245201,78,43.360280,-8.404970,3808.8148773367006
245201,79,43.361430,-8.404850,3937.056686289458
245201,80,43.361780,-8.404890,3976.109077233705
245201,81,43.362630,-8.405170,4073.2976381055414
245201,82,43.362770,-8.405190,4088.9486860584957
245201,83,43.363090,-8.405200,4124.54029381533
245201,84,43.363180,-8.405230,4134.837521306215
245201,85,43.364420,-8.405050,4273.485112319257
245201,86,43.364780,-8.405000,4313.718885073918
245201,87,43.365790,-8.404770,4427.554545254946
245201,88,43.365990,-8.404760,4449.808248244626
245201,89,43.366100,-8.404820,4462.966253331612
245201,90,43.366310,-8.404990,4490.060832457093
245201,91,43.367200,-8.405810,4609.172342139446
245201,92,43.367320,-8.405950,4626.668608972834
245201,93,43.367390,-8.406090,4640.4038798543015
245201,94,43.367510,-8.406230,4657.900123759094
245201,95,43.367810,-8.406500,4697.764106848824
245201,96,43.367900,-8.406560,4708.885002069979
245201,97,43.367770,-8.407010,4748.027475142353
245201,98,43.367690,-8.407330,4775.381384150414
245201,99,43.367740,-8.408080,4836.261706179493
245201,100,43.367720,-8.408190,4845.42739476217
245201,101,43.367660,-8.408250,4853.675720779364
245201,102,43.367610,-8.408380,4865.564353753998
245201,103,43.367560,-8.408480,4875.375236272525
245201,104,43.367420,-8.408640,4895.614273646558
245202,0,43.340850,-8.407060,0
245202,1,43.341980,-8.407900,142.83760678733015
245202,2,43.342630,-8.408360,224.1255946336638
245202,3,43.342970,-8.408530,264.3538517917544
245202,4,43.343420,-8.408690,316.03742256961596
245202,5,43.343600,-8.408730,336.31223238812083
245202,6,43.344140,-8.408750,396.3793531856113
245202,7,43.344370,-8.408720,422.0690252282402
245202,8,43.345050,-8.408570,498.6484294796015
245202,9,43.345350,-8.408410,534.428193595476
245202,10,43.346500,-8.407900,668.7882357354329
245202,11,43.347600,-8.407650,792.7621279614302
245202,12,43.347770,-8.407590,812.277976607802
245202,13,43.347970,-8.407450,837.2325049646229
245202,14,43.347980,-8.407400,841.4256701787175
245202,15,43.348020,-8.407350,847.4364221989553
245202,16,43.348080,-8.407330,854.3013352105758
245202,17,43.348150,-8.407340,862.1268792634808
245202,18,43.348270,-8.407430,877.325821929886
245202,19,43.348430,-8.407450,895.1903850060119
245202,20,43.348640,-8.407400,918.8887721053105
245202,21,43.349020,-8.407300,963.0022618225718
245202,22,43.349270,-8.407280,990.848031840371
245202,23,43.349830,-8.407310,1053.1645079188334
245202,24,43.350030,-8.407300,1075.418218634172
245202,25,43.350160,-8.407270,1090.0756967972998
245202,26,43.350360,-8.407300,1112.4466159479052
245202,27,43.353450,-8.406600,1460.6698935902252
245202,28,43.354590,-8.406370,1589.8893354872157
245202,29,43.355910,-8.406040,1739.0721294895664
